design,freq_ghz,peak_vv_dbsm,peak_hh_dbsm,peak_aspect_deg,peak_roll_deg,xpol_vh_dbsm,max_lift_over_body_db,lift_aspect_deg
gap 6 mm,3.0,-51.28912789185201,-44.242686712479696,80.0,0.0,-50.465569187160064,0.047465430858594004,130.0
gap 6 mm,6.0,-41.85314852167889,-34.6139995040235,130.0,0.0,-40.66664369963192,10.010130617860021,119.99999999999999
gap 10 mm,3.0,-46.593519713836606,-39.55660727294125,80.0,0.0,-45.76026679429883,0.1386423345116583,130.0
gap 10 mm,6.0,-37.34505732066167,-30.062117614524126,130.0,0.0,-36.16443166896387,14.327710937415823,119.99999999999999
gap 17 mm,3.0,-41.641892424765445,-34.640747375833875,80.0,0.0,-40.8174064407455,0.4355618044721723,130.0
gap 17 mm,6.0,-34.00059872312591,-26.58755527399583,130.0,0.0,-32.85217042574161,17.873593360676765,119.99999999999999
